Player Name,Team,Innings Pitched (IP),Hits Allowed (H),Earned Runs (ER),Walks Issued (BB),Strikeouts (K),Saves (SV),Blown Saves (BS),Holds (HD)
Erik Sabrowski,CLE,59.1,47,25,33,71,2,1,17
Jordan Wicks,CHC,28.2,28,13,9,25,0,0,1
Tanner Gordon,COL,63.2,73,38,16,48,0,0,1
Danny Coulombe,BOS,41.1,36,17,15,41,0,1,4
Justin Wrobleski,LAD,53.1,51,25,18,48,0,0,3
Tyler Kinley,ATL,59.2,52,28,24,63,2,2,13
Clarke Schmidt,NYY,27.1,24,12,9,27,0,0,1
A.J. Puk,ARI,31.1,27,12,10,36,4,2,5
Hoby Milner,CHC,61.1,60,27,18,52,0,2,13
Christian Scott,NYM,32.2,30,15,9,31,0,0,1
Luis Medina,ATH,77.2,74,40,36,70,0,0,1
Riley O'Brien,STL,62.2,56,26,28,63,15,5,13
Kenley Jansen,DET,56.2,48,25,20,57,22,3,2
Tony Santillan,CIN,66.1,59,30,29,69,5,3,19
Mason Englert,TBR,62,59,28,18,57,0,1,8
Thomas White,MIA,29.2,26,14,16,30,0,0,0
Ryan Bergert,KCR,60,58,31,24,51,0,0,1
Eric Lauer,TOR,57.2,54,27,19,55,0,0,2
Yennier Cano,BAL,55.2,53,24,20,52,2,4,17
Josh Sborz,TEX,48.1,44,22,19,49,0,2,7
John Schreiber,KCR,61.1,58,28,22,56,1,3,18
Jonathan Cannon,CHW,90.2,95,50,32,68,0,0,1
Ben Joyce,LAA,43,36,18,19,47,9,5,9
Justin Martinez,ARI,23.2,18,9,13,29,2,1,3
Dietrich Enns,BAL,60,60,28,20,55,0,1,10
Robert Stephenson,LAA,53.1,46,24,17,58,10,3,10
Luis García,NYM,56,53,25,21,50,0,2,11
Juan Mejia,COL,64.1,61,32,29,65,3,3,14
Pierce Johnson,CIN,59,54,27,23,64,1,3,13
Jakob Junis,TEX,61.2,59,27,16,53,0,1,7
Brenan Hanifee,DET,55.2,57,24,16,41,0,1,10
Alek Manoah,LAA,80.1,78,43,36,68,0,0,0
River Ryan,LAD,40.2,39,20,16,34,0,0,1
Erick Fedde,CHW,95.2,98,53,37,68,0,0,0
Gage Jump,ATH,31,30,15,11,27,0,0,0
Taijuan Walker,PHI,111.2,118,63,41,78,0,1,1
Brandon Williamson,CIN,64.1,63,33,24,55,0,0,1
Sam Moll,CIN,43,39,21,18,42,0,1,5
Jordan Romano,LAA,59,54,29,22,62,5,3,12
Mason Montgomery,PIT,59.2,54,26,26,64,2,2,12
Keaton Winn,SFG,30,30,14,9,26,0,0,1
Seranthony Domínguez,CHW,59.1,49,26,28,64,21,5,6
Anthony Bender,MIA,60.1,55,26,23,56,2,3,17
Brock Stewart,LAD,33.2,29,15,13,39,0,2,8
Yoendrys Gómez,TBR,59.1,53,28,24,58,0,0,1
Kyle Wright,CHC,41.2,40,22,18,37,0,0,0
Andrew Chafin,MIN,46.1,42,21,23,49,0,2,5
Josiah Gray,WSN,104,104,62,44,90,0,0,0
Jordan Leasure,CHW,61.2,52,28,26,69,7,5,14
Carlos Estévez,KCR,63.2,58,29,22,57,29,5,2
Ryan Gusto,MIA,49.2,50,26,17,44,0,0,1
Victor Vodnik,COL,63,62,31,31,60,17,4,7
Justin Lawrence,PIT,57.1,52,26,27,56,1,3,12
Quinn Mathews,STL,40.2,38,20,24,36,0,0,0
Hunter Gaddis,CLE,65.2,58,28,20,64,5,3,24
Keider Montero,DET,56.1,56,28,19,47,0,0,1
George Klassen,LAA,39.2,38,20,18,36,0,0,1
Mitchell Parker,WSN,56,57,29,19,43,0,0,1
Josh White,MIA,39.2,35,18,17,41,0,0,1
Kyle Hurt,LAD,35.2,32,16,16,36,0,0,1
Jason Foley,SFG,25.2,25,10,7,22,0,1,1
Kai-Wei Teng,HOU,42.1,39,21,18,43,0,0,1
Ian Hamilton,ATL,45.1,41,20,20,46,0,1,5
Clayton Beeter,WSN,61.1,51,27,32,69,15,4,11
Kevin Kelly,TBR,42.2,41,19,11,37,0,3,5
Carson Whisenhunt,SFG,29,29,14,11,24,0,0,1
Spencer Turnbull,,35,36,19,15,27,0,0,0
Evan Sisk,PIT,47.2,45,21,21,46,0,0,6
Tyler Alexander,TEX,69.2,71,36,19,58,1,1,5
Cade Povich,BAL,24,22,11,9,24,0,0,1
Ryan Thompson,ARI,62.2,62,28,19,51,6,4,19
Brock Burke,CIN,60,58,28,20,55,0,2,12
Ryan Fernandez,STL,47,43,22,22,47,0,1,5
Jack Perkins,ATH,27,23,12,11,28,0,0,1
Cristian Mena,ARI,24.2,23,11,9,23,0,1,1
Coleman Crow,MIL,18.2,16,8,6,20,0,0,1
Ryan Johnson,LAA,24.1,24,11,8,22,0,1,2
Javier Assad,CHC,57.2,55,26,21,48,0,0,3
Gavin Stone,LAD,24,24,12,8,21,0,0,1
Keegan Akin,BAL,65,59,29,24,66,2,3,16
Ricky Tiedemann,TOR,22.2,20,11,11,24,0,0,1
Spencer Bivens,SFG,68,69,31,21,51,0,0,9
Greg Weissert,BOS,63.1,61,29,22,56,1,4,16
Gordon Graceffo,STL,61.2,62,30,20,50,0,1,7
Huascar Brazobán,NYM,53,48,24,23,50,1,2,10
Blade Tidwell,SFG,34.2,34,17,14,30,0,0,1
Grant Wolfram,BAL,39.1,38,19,17,37,0,0,4
Drew Thorpe,CHW,42.1,42,23,16,32,0,0,0
Calvin Faucher,MIA,63.2,60,29,27,63,6,3,14
Emerson Hancock,SEA,64.2,64,32,21,50,0,0,1
Kendry Rojas,MIN,31.2,31,15,13,29,0,0,1
Ryan Brasier,TEX,43.2,41,20,13,38,0,1,4
Jake Bird,NYY,53.2,48,24,22,54,0,5,8
DJ Herz,WSN,25.1,22,11,12,28,0,0,1
Isaac Mattson,PIT,63,57,30,28,59,2,3,14
Kirby Yates,LAA,54.2,45,24,25,65,9,2,10
JT Brubaker,SFG,56,54,26,21,48,0,0,6
Jason Alexander,HOU,52,53,26,18,40,0,0,1
PJ Poulin,WSN,58,54,26,25,56,2,3,12
Nick Mears,KCR,59.1,55,28,23,57,0,3,14
Bryan Hudson,NYM,33.2,30,15,14,32,0,1,4
Cooper Criswell,SEA,53.2,52,24,17,43,0,0,3
Eric Orze,MIN,59,54,28,26,57,0,1,6
Ryan Yarbrough,NYY,63.2,61,30,19,51,0,1,3
Gregory Santos,SFG,43.2,42,19,20,38,3,6,6
Colin Selby,BAL,40.1,36,18,17,41,0,1,1
Tim Herrin,CLE,52,45,22,25,53,0,3,12
Tanner Houck,BOS,20.2,22,11,7,17,0,0,0
Matt Festa,CLE,57.2,52,27,21,56,1,2,12
Brent Headrick,NYY,48.1,43,21,16,50,0,1,4
Ryne Stanek,STL,56.1,51,27,26,58,3,4,13
Félix Bautista,BAL,10,7,4,5,14,0,0,1
Jaden Hill,COL,44.2,44,22,18,43,0,3,3
Evan Phillips,LAD,19.1,17,7,6,21,1,1,3
Shane Drohan,MIL,28,25,13,11,29,0,0,1
Philip Abner,ARI,25.2,24,12,10,24,0,1,1
Luke Little,CHC,20,16,8,12,22,0,0,1
Ronel Blanco,HOU,18.1,17,9,7,19,0,1,1
Carlos Rodriguez,MIL,31.2,29,15,13,29,0,0,1
Kohl Drake,ARI,23,23,11,9,20,0,0,0
Scott Barlow,ATH,55,48,26,29,58,4,3,11
JR Ritchie,ATL,22,22,11,9,18,0,0,0
Yaramil Hiraldo,BAL,33,30,15,12,34,0,1,3
Mason Fluharty,TOR,40.2,36,18,17,42,0,2,2
Brady Basso,ATH,43.2,42,19,16,39,0,0,4
Dauri Moreta,,27.1,23,12,12,31,0,1,2
Justin Bruihl,STL,47.1,45,22,18,42,0,2,9
José Buttó,SFG,62.2,57,28,26,57,2,2,13
Austin Gomber,TEX,24,25,14,7,17,0,0,0
Hayden Wesneski,HOU,24.1,22,11,7,23,0,0,1
Cole Sulser,TBR,50.2,47,23,17,46,0,1,5
Jalen Beeks,TEX,43,40,19,16,39,0,3,3
